provider|model|prompt|vector
openai|text-embedding-3-small|anchor assertion|[0.2,0.3,0.4]
openai|text-embedding-3-small|抽出元文書|[0.9,0.1,0.0]
openai|text-embedding-3-small|月次売上報告|[0.3,0.6,0.1]
openai|text-embedding-3-small|4月の売上は前年同月比で増加した|[0.8,0.1,0.1]
openai|text-embedding-3-small|4月の売上は増加した|[0.7,0.2,0.1]
openai|text-embedding-3-small|増加の主体は国内売上である可能性が高い|[0.6,0.2,0.2]
openai|text-embedding-3-small|国内売上が増加した|[0.5,0.3,0.2]
openai|text-embedding-3-small|全売上が増加した|[0.2,0.5,0.3]
openai|text-embedding-3-small|extract-raw-source|[0.1,0.1,0.1]
openai|text-embedding-3-small|SEMDL keeps semantic links.|[0.5,0.0,0.5]
openai|text-embedding-3-small|Provider adapters stay explicit.|[0.0,0.5,0.5]
